event_time,city,subscriber_id,sim_serial,device_imei,activation_channel,kyc_status,identity_document_type,identity_mismatch_flag,location_variance_km,failed_verification_attempts,recent_sim_swaps_30d,account_age_days,high_risk_country_flag,topup_amount_last_24h,suspicious_transaction_flag,fraud_alert_score,travel_pattern_score,blacklist_match_flag,escalated_to_fraud_team,key
2025-01-25T04:12:38.785149,Bengaluru,SUB-44586820,SIM-179761784122699,IMEI-375820637648073,Retail,Verified,National ID,FALSE,1.752211399,0,0,2358,FALSE,91.33797203,FALSE,0.596504561,0.520609004,FALSE,FALSE,SUB-44586820|SIM-179761784122699
2025-01-16T15:15:39.437378,Delhi,SUB-52030257,SIM-018362428755129,IMEI-936298954193378,Retail,Verified,National ID,FALSE,1.461867897,5,2,1096,FALSE,8.824736012,FALSE,0.355061447,0.433200314,FALSE,FALSE,SUB-52030257|SIM-018362428755129
2025-01-29T00:14:24.045795,Chennai,SUB-21992727,SIM-072333343985685,IMEI-162112162126165,Retail,Verified,National ID,FALSE,2.334414717,1,2,688,FALSE,3.856922364,FALSE,0.51471914,0.500122511,FALSE,FALSE,SUB-21992727|SIM-072333343985685
2025-01-20T04:06:02.161084,Bengaluru,SUB-26776348,SIM-218605319134711,IMEI-095813122267511,Retail,Verified,Driver License,FALSE,2.397421515,3,0,3288,FALSE,51.28565029,FALSE,0.691269644,0.46076149,FALSE,FALSE,SUB-26776348|SIM-218605319134711
2025-02-28T19:51:30.285969,Delhi,SUB-35632018,SIM-964143599638861,IMEI-077865044878489,Retail,Verified,Driver License,FALSE,29.80146297,2,0,1582,FALSE,41.64016631,TRUE,0.141551758,0.891532629,FALSE,FALSE,SUB-35632018|SIM-964143599638861
2025-01-20T02:04:43.885254,Bengaluru,SUB-22551312,SIM-478482367601474,IMEI-559355121501655,Retail,Verified,National ID,FALSE,1.34773532,1,2,3476,FALSE,15.11198175,FALSE,0.153847743,0.929610515,FALSE,FALSE,SUB-22551312|SIM-478482367601474
2025-01-20T03:54:22.063850,Bengaluru,SUB-58473810,SIM-209336393196114,IMEI-755421536391283,Retail,Verified,National ID,FALSE,2.312029376,4,0,2998,FALSE,9.121308529,FALSE,0.390586234,0.508520058,FALSE,FALSE,SUB-58473810|SIM-209336393196114
2025-01-25T20:29:36.177163,Delhi,SUB-11583877,SIM-164841266635045,IMEI-744563508052454,Retail,Verified,Passport,FALSE,0.634139877,0,0,1929,FALSE,7.375431974,FALSE,0.88489144,0.640813834,FALSE,FALSE,SUB-11583877|SIM-164841266635045
2025-01-25T17:46:52.513905,Chennai,SUB-47049001,SIM-728009854024476,IMEI-810217141360674,Retail,Verified,National ID,FALSE,4.332670869,2,1,1627,FALSE,8.605111292,FALSE,0.101394827,0.914283284,FALSE,FALSE,SUB-47049001|SIM-728009854024476
2025-02-21T00:21:32.652786,Hyderabad,SUB-85629030,SIM-740783000925574,IMEI-264561209725957,Call Center,Pending,National ID,FALSE,2.157068849,0,2,2511,FALSE,1.526679398,FALSE,0.053560254,0.714312644,FALSE,FALSE,SUB-85629030|SIM-740783000925574
2025-02-21T23:06:51.626284,Bengaluru,SUB-20663805,SIM-619106854153414,IMEI-070630003985279,Field Agent,Verified,National ID,FALSE,1.480128467,4,0,3323,FALSE,9.906617804,FALSE,0.642921952,0.428634865,FALSE,FALSE,SUB-20663805|SIM-619106854153414
